,Strain,Temperature,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,
1,BRX8.1,11,0.273671961,0.40864035,0.183510901,0.668381477,0.905133613,0.165324756,0.154062149,0.125413888,0.284999739
2,BRX8.1,17,0.168776364,0.375991539,0.229608066,0.62456311,0.343899498,0.271677307,0.686133368,0.462939512,0.184694621
3,BRX8.2,11,0.125687313,0.214620953,0.345907896,0.260053298,0.363536534,0.261528701,0.29752012,0.241367672,0.075443663
4,BRX8.2,17,0.115912149,0.225614948,0.140844005,0.130425131,0.152446778,0.056783162,0.125725044,0.276315568,0.068153682
5,BRX8.3,11,0.931053679,0.439417299,0.459313221,0.550019082,0.510245744,0.298093784,0.293303923,0.156258727,0.232680075
6,BRX8.3,17,0.236092212,0.499566839,0.521461574,0.212457981,0.324971661,0.115461308,0.285653533,0.200624073,0.144111935
7,BRX8.4,11,0.085848371,0.067938055,0.123855288,0.120352985,0.149163818,0.131745504,0.352347931,0.053452022,0.093618193
8,BRX8.4,17,0.28496892,0.620491551,0.741595657,0.298152629,0.184460273,0.639970084,0.5915304,0.284111255,0.213234242
9,BRX8.5,11,0.184691026,0.365850818,0.477677812,0.414640107,0.382344563,0.364065259,0.380546863,0.47822604,0.091796879
10,BRX8.5,17,0.284654582,0.762241945,0.210346562,0.126862811,0.175898005,0.156990564,0.186823923,0.245079079,0.205535502
11,BRX8.6,11,0.291622021,0.517534857,0.296105703,0.344753327,0.281899179,0.400233935,0.447011131,0.536173861,0.102268298
12,BRX8.6,17,0.284459075,0.701527717,0.830484801,0.554058792,0.375067538,0.198828077,0.347395099,0.30348844,0.222633513
13,BRX8.7,4,0.157799194,0.144479805,0.103684164,0.083881577,0.050814253,0.078094835,0.084888002,0.159252318,0.040946657
14,BRX8.7,11,0.307995705,0.266788153,0.440738711,1.150551195,0.325373725,1.132284962,0.529668601,0.379451433,0.364139199
15,BRX8.7,17,0.466912056,0.397585747,0.338324513,0.474508771,0.321491651,0.399257038,0.227474666,0.632854209,0.121633063
16,BRX8.8,4,0.091890106,0.060305264,0.194484132,0.060849943,0.13254302,0.304973046,0.210391159,0.068955541,0.08877789
